Designator,Mid X,Mid Y,Rotation,Layer
C1,187.874589,-71.205411,45.0,top
C10,177.206589,-73.491411,45.0,top
C11,189.779589,-79.035589,315.0,top
C12,155.166,-78.359,180.0,top
C13,154.968,-82.931,180.0,top
C14,157.607,-69.497,90.0,top
C15,155.039,-69.85,180.0,top
C16,157.48,-83.467,270.0,top
C17,157.071,-74.549,0.0,top
C18,156.464,-83.467,270.0,top
C19,156.591,-69.497,90.0,top
C2,193.802,-70.993,270.0,top
C20,157.099,-78.359,180.0,top
C21,155.166,-74.549,0.0,top
C3,193.802,-73.66,90.0,top
C4,193.195,-77.47,0.0,top
C5,198.445002,-73.279,0.0,top
C6,198.440001,-79.629,180.0,top
C7,194.691,-75.537,270.0,top
C8,187.198,-70.485,45.0,top
C9,183.035,-81.915,0.0,top
D1,163.400499,-82.042,180.0,top
FB1,198.226501,-71.374,180.0,top
J1,182.879999,-85.09,270.0,top
J2,173.736,-76.2,0.0,top
J20,151.384,-70.581,180.0,top
J21,151.384,-81.760998,180.0,top
J3,182.879998,-67.31,270.0,top
J4,205.74,-76.2,90.0,top
J5,168.91,-76.2,0.0,top
J6,201.93,-69.85,270.0,top
L1,157.099,-72.2875,90.0,top
L2,156.972,-80.7255,270.0,top
L3,155.194,-72.2875,270.0,top
L4,155.194,-80.7255,90.0,top
R1,188.722,-80.137,135.0,top
R13,198.753001,-81.28,180.0,top
R14,206.375,-68.705001,90.0,top
R2,176.149,-76.198001,270.0,top
R3,180.487376,-81.427376,315.0,top
R4,160.780001,-71.12,180.0,top
R7,161.036,-82.040001,270.0,top
SW3,162.56,-76.2,90.0,top
U1,183.006998,-75.973445,135.0,top
U5,198.186001,-76.4485,90.0,top
Y1,191.35,-72.276,90.0,top
Y2,192.151,-75.819,0.0,top
